"id","name","ticker","logo","algo_id","cryptunit_color"
115,"NinjaCoin","NINJA","https://www.cryptunit.com/coinicons/115.png",44,"#000000"
169,"NimboCoin","NIMB","https://www.cryptunit.com/coinicons/169.png",20,"#000000"
88,"Nibble","NBXC","https://www.cryptunit.com/coinicons/88.png",23,"#01250a"
154,"Nerva","XNV","https://www.cryptunit.com/coinicons/154.png",45,"#000000"
107,"NashCash","NACA","https://www.cryptunit.com/coinicons/107.png",33,"#000000"
164,"Xolentum","XOL","https://www.cryptunit.com/coinicons/164.png",31,"#000000"
75,"Xeonbit","XNB","https://www.cryptunit.com/coinicons/75.png",1,"#3d5998"
133,"Xcoin","XCOIN","https://www.cryptunit.com/coinicons/133.png",1,"#000000"
59,"X-CASH","XCASH","https://www.cryptunit.com/coinicons/59.png",27,"#124056"
124,"WrkzCoin","WRKZ","https://www.cryptunit.com/coinicons/124.png",19,"#000000"
49,"Wownero","WOW","https://www.cryptunit.com/coinicons/49.png",29,"#ac25b9"
31,"Worktips","WTIP","https://www.cryptunit.com/coinicons/31.png",20,"#474c56"
170,"WallStreetBets","WSBC","https://www.cryptunit.com/coinicons/170.png",35,"#000000"
91,"uPlexa","UPX","https://www.cryptunit.com/coinicons/91.png",19,"#545173"
162,"UltraNote Infinity","XUNI","https://www.cryptunit.com/coinicons/162.png",23,"#000000"
54,"TycheCash","TYCH","https://www.cryptunit.com/coinicons/54.png",1,"#dc7a00"
20,"TurtleCoin","TRTL","https://www.cryptunit.com/coinicons/20.png",51,"#00401e"
72,"Tritanium","TTNZ","https://www.cryptunit.com/coinicons/72.png",20,"#10826b"
146,"traaittPlatform","ETRX","https://www.cryptunit.com/coinicons/146.png",33,"#000000"
141,"Tickets","TKTS","https://www.cryptunit.com/coinicons/141.png",33,"#000000"
163,"Tesoro","TSX","https://www.cryptunit.com/coinicons/163.png",31,"#000000"
145,"Talleo","TLO","https://www.cryptunit.com/coinicons/145.png",20,"#000000"
89,"Swap","XWP","https://www.cryptunit.com/coinicons/89.png",38,"#5849b5"
8,"Sumokoin","SUMO","https://www.cryptunit.com/coinicons/8.png",25,"#005687"
138,"ZumCoin","ZUM","https://www.cryptunit.com/coinicons/138.png",34,"#000000"
108,"Zent Cash","ZTC","https://www.cryptunit.com/coinicons/108.png",4,"#000000"
157,"Zano","ZANO","https://www.cryptunit.com/coinicons/157.png",48,"#5bb8e4"
